num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,ChebyshevPQC
2,1,5,,ChebyshevPQC
3,1,5,,ChebyshevPQC
4,1,5,,ChebyshevPQC
5,1,5,0.884481558803062,ChebyshevPQC
1,2,5,,ChebyshevPQC
2,2,5,,ChebyshevPQC
3,2,5,0.8434237995824635,ChebyshevPQC
4,2,5,0.8796102992345164,ChebyshevPQC
5,2,5,0.9255393180236604,ChebyshevPQC
1,3,5,,ChebyshevPQC
2,3,5,0.7286012526096034,ChebyshevPQC
3,3,5,0.8455114822546973,ChebyshevPQC
4,3,5,0.9213639526791928,ChebyshevPQC
5,3,5,0.929714683368128,ChebyshevPQC
1,4,5,,ChebyshevPQC
2,4,5,0.7125956854558106,ChebyshevPQC
3,4,5,0.8921363952679192,ChebyshevPQC
4,4,5,0.929714683368128,ChebyshevPQC
5,4,5,0.9255393180236604,ChebyshevPQC
1,5,5,,ChebyshevPQC
2,5,5,0.7661795407098121,ChebyshevPQC
3,5,5,0.8754349338900488,ChebyshevPQC
4,5,5,0.9248434237995825,ChebyshevPQC
5,5,5,0.9366736256089075,ChebyshevPQC
