num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,ChebyshevRx
2,1,5,,ChebyshevRx
3,1,5,,ChebyshevRx
4,1,5,,ChebyshevRx
5,1,5,0.8046744574290484,ChebyshevRx
1,2,5,,ChebyshevRx
2,2,5,,ChebyshevRx
3,2,5,0.7968836950473012,ChebyshevRx
4,2,5,0.7423483583750695,ChebyshevRx
5,2,5,0.8736783528102393,ChebyshevRx
1,3,5,,ChebyshevRx
2,3,5,0.563717306622148,ChebyshevRx
3,3,5,0.8770172509738453,ChebyshevRx
4,3,5,0.8803561491374513,ChebyshevRx
5,3,5,0.8692264885920981,ChebyshevRx
1,4,5,,ChebyshevRx
2,4,5,0.7139677239844184,ChebyshevRx
3,4,5,0.8970506399554813,ChebyshevRx
4,4,5,0.905954368391764,ChebyshevRx
5,4,5,0.8898163606010017,ChebyshevRx
1,5,5,0.3411240957150807,ChebyshevRx
2,5,5,0.6304952698942682,ChebyshevRx
3,5,5,0.8625486922648858,ChebyshevRx
4,5,5,0.8681135225375627,ChebyshevRx
5,5,5,0.9120756816917085,ChebyshevRx
