num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,HighDimEncodingCircuit
2,1,5,0.44852531997774064,HighDimEncodingCircuit
3,1,5,0.5865331107401225,HighDimEncodingCircuit
4,1,5,0.6783528102392876,HighDimEncodingCircuit
5,1,5,0.7434613244296049,HighDimEncodingCircuit
1,2,5,0.2042292710072343,HighDimEncodingCircuit
2,2,5,0.3149693934335003,HighDimEncodingCircuit
3,2,5,0.4763494713411241,HighDimEncodingCircuit
4,2,5,0.45353366722314964,HighDimEncodingCircuit
5,2,5,0.5525876460767947,HighDimEncodingCircuit
1,3,5,0.20144685587089595,HighDimEncodingCircuit
2,3,5,0.26933778519755147,HighDimEncodingCircuit
3,3,5,0.38898163606010017,HighDimEncodingCircuit
4,3,5,0.3494713411240957,HighDimEncodingCircuit
5,3,5,0.43906510851419034,HighDimEncodingCircuit
1,4,5,0.18196994991652757,HighDimEncodingCircuit
2,4,5,0.24318308291597104,HighDimEncodingCircuit
3,4,5,0.3127434613244296,HighDimEncodingCircuit
4,4,5,0.365609348914858,HighDimEncodingCircuit
5,4,5,0.36839176405119645,HighDimEncodingCircuit
1,5,5,0.17195325542570952,HighDimEncodingCircuit
2,5,5,0.25375626043405675,HighDimEncodingCircuit
3,5,5,0.2737896494156928,HighDimEncodingCircuit
4,5,5,0.2938230383973289,HighDimEncodingCircuit
5,5,5,0.3043962159154146,HighDimEncodingCircuit
