num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,HubregtsenEncodingCircuit
2,1,5,,HubregtsenEncodingCircuit
3,1,5,,HubregtsenEncodingCircuit
4,1,5,,HubregtsenEncodingCircuit
5,1,5,0.7981906750173974,HubregtsenEncodingCircuit
1,2,5,,HubregtsenEncodingCircuit
2,2,5,,HubregtsenEncodingCircuit
3,2,5,0.7286012526096034,HubregtsenEncodingCircuit
4,2,5,0.802366040361865,HubregtsenEncodingCircuit
5,2,5,0.824634655532359,HubregtsenEncodingCircuit
1,3,5,,HubregtsenEncodingCircuit
2,3,5,0.4091858037578288,HubregtsenEncodingCircuit
3,3,5,0.6868475991649269,HubregtsenEncodingCircuit
4,3,5,0.8065414057063327,HubregtsenEncodingCircuit
5,3,5,0.883089770354906,HubregtsenEncodingCircuit
1,4,5,,HubregtsenEncodingCircuit
2,4,5,0.38552540013917885,HubregtsenEncodingCircuit
3,4,5,0.6659707724425887,HubregtsenEncodingCircuit
4,4,5,0.8559498956158663,HubregtsenEncodingCircuit
5,4,5,0.8956158663883089,HubregtsenEncodingCircuit
1,5,5,0.22755741127348642,HubregtsenEncodingCircuit
2,5,5,0.42727905358385526,HubregtsenEncodingCircuit
3,5,5,0.651356993736952,HubregtsenEncodingCircuit
4,5,5,0.8378566457898399,HubregtsenEncodingCircuit
5,5,5,0.9157967988865693,HubregtsenEncodingCircuit
