num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,MultiControlEncodingCircuit
2,1,5,,MultiControlEncodingCircuit
3,1,5,,MultiControlEncodingCircuit
4,1,5,,MultiControlEncodingCircuit
5,1,5,0.8608792431830828,MultiControlEncodingCircuit
1,2,5,,MultiControlEncodingCircuit
2,2,5,,MultiControlEncodingCircuit
3,2,5,0.8313856427378966,MultiControlEncodingCircuit
4,2,5,0.8514190317195326,MultiControlEncodingCircuit
5,2,5,0.87590428491931,MultiControlEncodingCircuit
1,3,5,,MultiControlEncodingCircuit
2,3,5,0.6477462437395659,MultiControlEncodingCircuit
3,3,5,0.771841958820256,MultiControlEncodingCircuit
4,3,5,0.8631051752921536,MultiControlEncodingCircuit
5,3,5,0.9154145798553145,MultiControlEncodingCircuit
1,4,5,,MultiControlEncodingCircuit
2,4,5,0.6332776850306067,MultiControlEncodingCircuit
3,4,5,0.8169170840289371,MultiControlEncodingCircuit
4,4,5,0.8224819143016138,MultiControlEncodingCircuit
5,4,5,0.9003895381190873,MultiControlEncodingCircuit
1,5,5,,MultiControlEncodingCircuit
2,5,5,0.6310517529215359,MultiControlEncodingCircuit
3,5,5,0.7796327212020033,MultiControlEncodingCircuit
4,5,5,0.8380634390651084,MultiControlEncodingCircuit
5,5,5,0.9031719532554257,MultiControlEncodingCircuit
