num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,ParamZFeatureMap
2,1,5,,ParamZFeatureMap
3,1,5,,ParamZFeatureMap
4,1,5,,ParamZFeatureMap
5,1,5,0.1002087682672234,ParamZFeatureMap
1,2,5,,ParamZFeatureMap
2,2,5,,ParamZFeatureMap
3,2,5,0.6993736951983299,ParamZFeatureMap
4,2,5,0.768267223382046,ParamZFeatureMap
5,2,5,0.8030619345859429,ParamZFeatureMap
1,3,5,,ParamZFeatureMap
2,3,5,0.5615866388308978,ParamZFeatureMap
3,3,5,0.6360473208072372,ParamZFeatureMap
4,3,5,0.7014613778705637,ParamZFeatureMap
5,3,5,0.7167710508002784,ParamZFeatureMap
1,4,5,,ParamZFeatureMap
2,4,5,0.5017397355601948,ParamZFeatureMap
3,4,5,0.6840640222686152,ParamZFeatureMap
4,4,5,0.7348643006263048,ParamZFeatureMap
5,4,5,0.7738343771746695,ParamZFeatureMap
1,5,5,0.2971468336812804,ParamZFeatureMap
2,5,5,0.5177453027139874,ParamZFeatureMap
3,5,5,0.5984690327070284,ParamZFeatureMap
4,5,5,0.6604036186499652,ParamZFeatureMap
5,5,5,0.7466945024356297,ParamZFeatureMap
