num_qubits,num_layers,num_features,accuracy,encoding_circuit,seed
1,1,5,,RandomLayeredEncodingCircuit,14031879
2,1,5,,RandomLayeredEncodingCircuit,14031879
3,1,5,,RandomLayeredEncodingCircuit,14031879
4,1,5,,RandomLayeredEncodingCircuit,14031879
5,1,5,0.3967723984418475,RandomLayeredEncodingCircuit,14031879
1,2,5,,RandomLayeredEncodingCircuit,14031879
2,2,5,,RandomLayeredEncodingCircuit,14031879
3,2,5,0.32220367278797996,RandomLayeredEncodingCircuit,14031879
4,2,5,0.36894824707846413,RandomLayeredEncodingCircuit,14031879
5,2,5,0.3967723984418475,RandomLayeredEncodingCircuit,14031879
1,3,5,,RandomLayeredEncodingCircuit,14031879
2,3,5,0.25431274346132443,RandomLayeredEncodingCircuit,14031879
3,3,5,0.32220367278797996,RandomLayeredEncodingCircuit,14031879
4,3,5,0.36894824707846413,RandomLayeredEncodingCircuit,14031879
5,3,5,0.10127991096271564,RandomLayeredEncodingCircuit,14031879
1,4,5,,RandomLayeredEncodingCircuit,14031879
2,4,5,0.4218141346688926,RandomLayeredEncodingCircuit,14031879
3,4,5,0.10127991096271564,RandomLayeredEncodingCircuit,14031879
4,4,5,0.1018363939899833,RandomLayeredEncodingCircuit,14031879
5,4,5,0.10127991096271564,RandomLayeredEncodingCircuit,14031879
1,5,5,0.20756816917084028,RandomLayeredEncodingCircuit,14031879
2,5,5,0.21925431274346133,RandomLayeredEncodingCircuit,14031879
3,5,5,0.32220367278797996,RandomLayeredEncodingCircuit,14031879
4,5,5,0.36894824707846413,RandomLayeredEncodingCircuit,14031879
5,5,5,0.10127991096271564,RandomLayeredEncodingCircuit,14031879
