num_qubits,num_layers,num_features,accuracy,encoding_circuit
1,1,5,,YZ_CX_EncodingCircuit
2,1,5,,YZ_CX_EncodingCircuit
3,1,5,,YZ_CX_EncodingCircuit
4,1,5,,YZ_CX_EncodingCircuit
5,1,5,0.8135781858653311,YZ_CX_EncodingCircuit
1,2,5,,YZ_CX_EncodingCircuit
2,2,5,,YZ_CX_EncodingCircuit
3,2,5,0.6393989983305509,YZ_CX_EncodingCircuit
4,2,5,0.7595993322203674,YZ_CX_EncodingCircuit
5,2,5,0.8163606010016694,YZ_CX_EncodingCircuit
1,3,5,,YZ_CX_EncodingCircuit
2,3,5,0.4106844741235392,YZ_CX_EncodingCircuit
3,3,5,0.5948803561491375,YZ_CX_EncodingCircuit
4,3,5,0.7217584863661658,YZ_CX_EncodingCircuit
5,3,5,0.7896494156928213,YZ_CX_EncodingCircuit
1,4,5,,YZ_CX_EncodingCircuit
2,4,5,0.42904841402337235,YZ_CX_EncodingCircuit
3,4,5,0.6299387868670006,YZ_CX_EncodingCircuit
4,4,5,0.6861435726210351,YZ_CX_EncodingCircuit
5,4,5,0.8063439065108514,YZ_CX_EncodingCircuit
1,5,5,0.2760155815247635,YZ_CX_EncodingCircuit
2,5,5,0.4852531997774068,YZ_CX_EncodingCircuit
3,5,5,0.560378408458542,YZ_CX_EncodingCircuit
4,5,5,0.6516416249304396,YZ_CX_EncodingCircuit
5,5,5,0.7991096271563718,YZ_CX_EncodingCircuit
